rank,source_row_index,client_id,fraud_risk_score,profile_fraud_label,split,model_name,tx_count_total,tx_amount_sum,tx_amount_mean,tx_freq_per_day,top_email_domain,identity_present,low_history_flag,history_support_score
33,98534,2616_472.0_170,0.9691319794556015,1,val,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,gmail.com,1,1,0.1
34,141090,15007_299.0_109,0.9686093278071147,1,train,lgbm_auc_unweighted_seed2026,2,1000.0,500.0,2.0,gmail.com,1,1,0.2
35,130172,17099_264.0_142,0.968474054952372,1,train,lgbm_auc_unweighted_seed2026,1,475.0,475.0,1.0,gmail.com,1,1,0.1
36,98282,2675__97,0.9679730147898115,1,train,lgbm_auc_unweighted_seed2026,3,94.98,31.66,3.0,gmail.com,1,1,0.3
37,18855,6019_264.0_35,0.966658459403296,1,train,lgbm_auc_unweighted_seed2026,1,375.0,375.0,1.0,gmail.com,1,1,0.1
38,3939,7508_299.0_65,0.9666339656923771,1,train,lgbm_auc_unweighted_seed2026,1,350.0,350.0,1.0,gmail.com,1,1,0.1
39,105587,8695_337.0_35,0.9665393111581486,1,train,lgbm_auc_unweighted_seed2026,1,375.0,375.0,1.0,gmail.com,1,1,0.1
40,87970,2039_327.0_65,0.9663458716784135,1,train,lgbm_auc_unweighted_seed2026,1,350.0,350.0,1.0,gmail.com,1,1,0.1
41,11037,12116_191.0_15,0.9654265757795414,1,train,lgbm_auc_unweighted_seed2026,1,480.0,480.0,1.0,gmail.com,1,1,0.1
42,1777,7177__97,0.9653916483395275,1,train,lgbm_auc_unweighted_seed2026,1,31.66,31.66,1.0,gmail.com,1,1,0.1
43,17184,17644_299.0_149,0.9651827675996498,1,train,lgbm_auc_unweighted_seed2026,1,350.0,350.0,1.0,gmail.com,1,1,0.1
44,168838,15837_325.0_64,0.9650972105784961,1,train,lgbm_auc_unweighted_seed2026,1,200.0,200.0,1.0,mail.com,1,1,0.1
45,3064,8349_476.0_170,0.9643299758290378,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,gmail.com,1,1,0.1
46,88733,18227_299.0_84,0.9636322293712912,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,gmail.com,1,1,0.1
47,147444,6288_191.0_35,0.9633583816037125,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,gmail.com,1,1,0.1
48,24646,6288_177.0_35,0.9622509153051354,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,gmail.com,1,1,0.1
49,43226,10486_441.0_114,0.9620962725323406,1,train,lgbm_auc_unweighted_seed2026,1,325.0,325.0,1.0,mail.com,1,1,0.1
50,72811,8507_184.0_107,0.9614880225010097,1,train,lgbm_auc_unweighted_seed2026,1,350.0,350.0,1.0,gmail.com,1,1,0.1
51,88459,2744_204.0_148,0.9613623878816538,1,train,lgbm_auc_unweighted_seed2026,1,400.0,400.0,1.0,gmail.com,1,1,0.1
52,3988,6053_299.0_26,0.9610956313962584,1,train,lgbm_auc_unweighted_seed2026,2,750.0,375.0,2.0,gmail.com,1,1,0.2
53,143652,11015_325.0_85,0.9610007744317359,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,gmail.com,1,1,0.1
54,98171,2039_231.0_64,0.9605896451584589,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,gmail.com,1,1,0.1
55,29371,6019_472.0_160,0.9595432971230611,1,train,lgbm_auc_unweighted_seed2026,1,600.0,600.0,1.0,gmail.com,1,1,0.1
56,29928,4504__76,0.9592750439859696,1,train,lgbm_auc_unweighted_seed2026,10,506.01700000000005,50.60170000000001,1.6537467700258397,gmail.com,1,0,1.0
57,136153,4141_476.0_46,0.9589284108634626,1,train,lgbm_auc_unweighted_seed2026,1,250.0,250.0,1.0,gmail.com,1,1,0.1
58,137832,17580_184.0_107,0.9589143419362937,1,train,lgbm_auc_unweighted_seed2026,1,350.0,350.0,1.0,gmail.com,1,1,0.1
59,145895,2528_325.0_107,0.9587311583767212,1,train,lgbm_auc_unweighted_seed2026,1,150.0,150.0,1.0,gmail.com,1,1,0.1
60,2977,9484_485.0_35,0.9579092413744379,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,gmail.com,1,1,0.1
61,122989,3613_428.0_176,0.956839305653877,1,train,lgbm_auc_unweighted_seed2026,1,150.0,150.0,1.0,gmail.com,1,1,0.1
62,82126,10486_512.0_60,0.9565176898189085,1,val,lgbm_auc_unweighted_seed2026,1,500.0,500.0,1.0,gmail.com,1,1,0.1
63,73285,15186_181.0_176,0.9563842705695021,1,train,lgbm_auc_unweighted_seed2026,1,150.0,150.0,1.0,gmail.com,1,1,0.1
64,114436,6280_272.0_70,0.9561950044132153,1,train,lgbm_auc_unweighted_seed2026,3,1200.0,400.0,3.0,gmail.com,1,1,0.3
65,31047,4577_315.0_27,0.9559156664330267,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,yahoo.com,1,1,0.1
66,98449,10361_264.0_65,0.955527380954602,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,yahoo.com,1,1,0.1
67,147849,3524_330.0_59,0.9544237426648088,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,gmail.com,1,1,0.1
68,61459,16822_325.0_84,0.9543137374511024,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,gmail.com,1,1,0.1
69,13604,6773_299.0_138,0.9541993695639023,1,train,lgbm_auc_unweighted_seed2026,2,1000.0,500.0,2.0,gmail.com,1,1,0.2
70,23825,5222_512.0_109,0.9536636335932026,1,train,lgbm_auc_unweighted_seed2026,5,4446.0,889.2,1.90674599671616,mail.com,0,0,0.5
71,157368,4151_387.0_12,0.9535496400077382,1,test,lgbm_auc_unweighted_seed2026,1,450.0,450.0,1.0,gmail.com,1,1,0.1
72,159369,10493_387.0_8,0.9528664330634811,1,train,lgbm_auc_unweighted_seed2026,1,450.0,450.0,1.0,gmail.com,1,1,0.1
73,67221,5938_337.0_54,0.9519554496014803,1,train,lgbm_auc_unweighted_seed2026,1,275.0,275.0,1.0,gmail.com,1,1,0.1
74,100508,7299_204.0_177,0.9519386632448168,1,train,lgbm_auc_unweighted_seed2026,1,75.0,75.0,1.0,anonymous.com,1,1,0.1
75,64281,5812__174,0.9515017672271624,1,train,lgbm_auc_unweighted_seed2026,16,1675.58,104.72375,16.0,gmail.com,1,0,1.0
76,52173,2616_325.0_172,0.9511140861481461,1,train,lgbm_auc_unweighted_seed2026,2,435.0,217.5,2.0,gmail.com,1,1,0.2
77,120466,7585_231.0_118,0.9498611028458968,1,train,lgbm_auc_unweighted_seed2026,1,150.0,150.0,1.0,gmail.com,1,1,0.1
78,152206,16062__117,0.9494350015765688,1,train,lgbm_auc_unweighted_seed2026,5,329.53,65.90599999999999,5.0,gmail.com,1,0,0.5
79,112823,17714_123.0_9,0.9492946224405054,1,train,lgbm_auc_unweighted_seed2026,1,150.0,150.0,1.0,gmail.com,1,1,0.1
80,93265,10486_330.0_107,0.9491984801610427,1,val,lgbm_auc_unweighted_seed2026,1,350.0,350.0,1.0,yahoo.com,1,1,0.1
81,38810,9917__111,0.9491508498285764,1,train,lgbm_auc_unweighted_seed2026,16,786.7,49.16875,5.466213784949723,gmail.com,1,0,1.0
82,152465,10486_472.0_114,0.9479440504109053,1,test,lgbm_auc_unweighted_seed2026,1,325.0,325.0,1.0,mail.com,1,1,0.1
83,46918,1171_191.0_125,0.9475301988657536,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,gmail.com,1,1,0.1
84,25510,4141_226.0_44,0.9474754144644612,1,train,lgbm_auc_unweighted_seed2026,1,250.0,250.0,1.0,gmail.com,1,1,0.1
85,106232,13982_472.0_121,0.9474635635708007,1,test,lgbm_auc_unweighted_seed2026,1,500.0,500.0,1.0,icloud.com,1,1,0.1
86,114296,2884_272.0_76,0.9474373505662936,1,train,lgbm_auc_unweighted_seed2026,1,200.0,200.0,1.0,gmail.com,1,1,0.1
87,3683,6207_231.0_170,0.9472661411950966,1,train,lgbm_auc_unweighted_seed2026,2,600.0,300.0,2.0,gmail.com,1,1,0.2
88,111398,16075_472.0_100,0.947221538483421,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,gmail.com,1,1,0.1
89,65040,2884_299.0_157,0.9462051401784656,1,train,lgbm_auc_unweighted_seed2026,2,863.79,431.895,2.0,gmail.com,1,1,0.2
90,6232,8755__147,0.945877578507334,1,train,lgbm_auc_unweighted_seed2026,10,431.731,43.1731,10.0,gmail.com,1,0,1.0
91,110806,4141_310.0_76,0.9441195491500289,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,gmail.com,1,1,0.1
92,86676,6019_512.0_122,0.9439225872675244,1,train,lgbm_auc_unweighted_seed2026,1,450.0,450.0,1.0,gmail.com,1,1,0.1
93,27686,7508_110.0_65,0.9427154042581959,1,val,lgbm_auc_unweighted_seed2026,1,350.0,350.0,1.0,gmail.com,1,1,0.1
94,111320,10145_387.0_75,0.9423639887960081,1,train,lgbm_auc_unweighted_seed2026,1,450.0,450.0,1.0,gmail.com,1,1,0.1
95,55608,10165_428.0_176,0.9413937243159508,1,train,lgbm_auc_unweighted_seed2026,1,150.0,150.0,1.0,gmail.com,1,1,0.1
96,141910,16075_324.0_126,0.9412730063493604,1,train,lgbm_auc_unweighted_seed2026,1,200.0,200.0,1.0,icloud.com,1,1,0.1
97,97867,10165_204.0_176,0.9411554813227462,1,val,lgbm_auc_unweighted_seed2026,1,75.0,75.0,1.0,anonymous.com,1,1,0.1
98,86476,7676_420.0_62,0.9409824484651047,1,train,lgbm_auc_unweighted_seed2026,4,834.0,208.5,0.139204127789067,gmail.com,1,1,0.4
99,39375,10549_299.0_88,0.9408605963399383,1,train,lgbm_auc_unweighted_seed2026,1,450.0,450.0,1.0,gmail.com,1,1,0.1
100,155391,16075_315.0_59,0.9397407298016228,1,train,lgbm_auc_unweighted_seed2026,1,150.0,150.0,1.0,gmail.com,1,1,0.1
101,59537,6283__95,0.9395084260046549,1,train,lgbm_auc_unweighted_seed2026,2,578.8240000000001,289.41200000000003,1.1326616894225916,gmail.com,1,1,0.2
102,65650,8755__150,0.939182877827433,1,train,lgbm_auc_unweighted_seed2026,10,327.31999999999994,32.73199999999999,1.0482701722244805,gmail.com,1,0,1.0
103,5537,6354_191.0_14,0.9391291202863302,1,train,lgbm_auc_unweighted_seed2026,1,465.0,465.0,1.0,gmail.com,1,1,0.1
104,40471,3821_330.0_122,0.9379099314411053,1,val,lgbm_auc_unweighted_seed2026,1,450.0,450.0,1.0,gmail.com,1,1,0.1
105,90061,16659_325.0_83,0.9379063983883503,1,val,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,gmail.com,1,1,0.1
106,15594,14426_272.0_174,0.9370725979059205,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,gmail.com,1,1,0.1
107,27696,2464_204.0_121,0.9361744524298082,1,train,lgbm_auc_unweighted_seed2026,1,200.0,200.0,1.0,gmail.com,1,1,0.1
108,69690,12116_123.0_33,0.936114328179691,1,train,lgbm_auc_unweighted_seed2026,1,450.0,450.0,1.0,gmail.com,1,1,0.1
109,129850,5222_436.0_69,0.9360739016566765,1,train,lgbm_auc_unweighted_seed2026,1,175.0,175.0,1.0,yahoo.com,1,1,0.1
110,104798,3154__52,0.9354231560789631,1,train,lgbm_auc_unweighted_seed2026,14,408.18500000000006,29.15607142857144,0.1541048376637523,gmail.com,1,0,1.0
111,150928,18268_225.0_107,0.9353090070275475,1,train,lgbm_auc_unweighted_seed2026,1,375.0,375.0,1.0,gmail.com,1,1,0.1
112,145800,8755__42,0.9347809580804486,1,train,lgbm_auc_unweighted_seed2026,2,55.512,27.756,2.0,gmail.com,1,1,0.2
113,4274,6741_299.0_71,0.9341683336755691,1,train,lgbm_auc_unweighted_seed2026,1,150.0,150.0,1.0,outlook.com,1,1,0.1
114,42258,3682_264.0_70,0.9337007340709906,1,train,lgbm_auc_unweighted_seed2026,1,275.0,275.0,1.0,gmail.com,1,1,0.1
115,148688,15066_269.0_95,0.9336461951415204,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,gmail.com,1,1,0.1
116,126652,6746__170,0.9323751487606444,1,test,lgbm_auc_unweighted_seed2026,1,132.797,132.797,1.0,gmail.com,1,1,0.1
117,101848,15944__155,0.9320365420921983,1,train,lgbm_auc_unweighted_seed2026,5,216.718,43.3436,2.5147860103385646,gmail.com,1,0,0.5
118,132540,18318_184.0_32,0.9319039769454963,1,train,lgbm_auc_unweighted_seed2026,1,150.0,150.0,1.0,gmail.com,1,1,0.1
119,132728,13998_343.0_171,0.9317789814973871,1,train,lgbm_auc_unweighted_seed2026,1,125.0,125.0,1.0,outlook.com,1,1,0.1
120,3230,5097_264.0_45,0.9315633721446972,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,mail.com,1,1,0.1
121,101381,3154__62,0.9313306946141954,1,train,lgbm_auc_unweighted_seed2026,20,550.67,27.5335,0.238224630937935,gmail.com,1,0,1.0
122,32206,3682_330.0_76,0.9304071279469787,1,train,lgbm_auc_unweighted_seed2026,1,50.0,50.0,1.0,gmail.com,1,1,0.1
123,138459,13526_299.0_102,0.9301760946638076,1,train,lgbm_auc_unweighted_seed2026,2,600.0,300.0,2.0,gmail.com,1,1,0.2
124,173547,4998__64,0.9301739477561047,1,val,lgbm_auc_unweighted_seed2026,1,67.067,67.067,1.0,hotmail.com,1,1,0.1
125,104478,3887__-194,0.9301739477561047,1,train,lgbm_auc_unweighted_seed2026,1,67.067,67.067,1.0,hotmail.com,1,1,0.1
126,147501,4151_441.0_11,0.9297985522114521,1,train,lgbm_auc_unweighted_seed2026,1,450.0,450.0,1.0,gmail.com,1,1,0.1
127,93504,1939_204.0_121,0.929436473222935,1,train,lgbm_auc_unweighted_seed2026,2,400.0,200.0,2.0,gmail.com,1,1,0.2
128,126771,14260__-194,0.9291590770734872,1,test,lgbm_auc_unweighted_seed2026,1,67.067,67.067,1.0,hotmail.com,1,1,0.1
129,58341,9120__64,0.9291590770734872,1,train,lgbm_auc_unweighted_seed2026,1,67.067,67.067,1.0,hotmail.com,1,1,0.1
130,165966,5599__94,0.9291445139718578,1,train,lgbm_auc_unweighted_seed2026,3,914.155,304.7183333333333,1.5156299336911905,gmail.com,1,1,0.3
131,111800,1976__-194,0.9289337111207535,1,train,lgbm_auc_unweighted_seed2026,1,67.067,67.067,1.0,hotmail.com,1,1,0.1
132,134622,14276__50,0.9288493570518737,1,train,lgbm_auc_unweighted_seed2026,11,361.759,32.88718181818182,0.7338661790698339,gmail.com,1,0,1.0
133,52061,11942_310.0_124,0.9287422738616,1,train,lgbm_auc_unweighted_seed2026,1,500.0,500.0,1.0,gmail.com,1,1,0.1
134,98943,10876__148,0.9285326904586534,1,train,lgbm_auc_unweighted_seed2026,3,311.211,103.737,0.567245510947707,gmail.com,1,1,0.3
135,125814,10876__43,0.9281782928782155,1,train,lgbm_auc_unweighted_seed2026,5,326.507,65.3014,5.0,gmail.com,1,0,0.5
136,144254,6344_264.0_86,0.9270022534557131,1,train,lgbm_auc_unweighted_seed2026,5,1750.0,350.0,2.1748433055604504,gmail.com,1,0,0.5
137,21130,16326_494.0_133,0.9269947070639243,1,val,lgbm_auc_unweighted_seed2026,1,150.0,150.0,1.0,gmail.com,1,1,0.1
138,146507,4425_441.0_35,0.9268236824653064,1,train,lgbm_auc_unweighted_seed2026,1,500.0,500.0,1.0,gmail.com,1,1,0.1
139,2795,12521_476.0_65,0.9267961502136447,1,train,lgbm_auc_unweighted_seed2026,1,350.0,350.0,1.0,gmail.com,1,1,0.1
140,151748,14276__126,0.9265909818850402,1,train,lgbm_auc_unweighted_seed2026,7,378.471,54.06728571428572,0.386458859831346,hotmail.com,1,0,0.7
141,136455,9555_299.0_92,0.9264972209429989,1,test,lgbm_auc_unweighted_seed2026,1,200.0,200.0,1.0,yahoo.com,1,1,0.1
142,53337,17736_220.0_87,0.9264364783958986,1,train,lgbm_auc_unweighted_seed2026,1,450.0,450.0,1.0,gmail.com,1,1,0.1
143,153366,13413__172,0.9264314832865644,1,train,lgbm_auc_unweighted_seed2026,6,580.309,96.71816666666666,3.3494863345609613,gmail.com,1,0,0.6
144,82087,1342_299.0_143,0.9262552973967813,1,train,lgbm_auc_unweighted_seed2026,1,475.0,475.0,1.0,gmail.com,1,1,0.1
145,64443,10225_264.0_90,0.9259915767519504,1,train,lgbm_auc_unweighted_seed2026,2,600.0,300.0,2.0,anonymous.com,1,1,0.2
146,82849,3643__126,0.9256748377569679,1,train,lgbm_auc_unweighted_seed2026,3,155.606,51.86866666666666,0.7645769606295961,gmail.com,1,1,0.3
147,8009,15066__161,0.9255418914943425,1,val,lgbm_auc_unweighted_seed2026,1,59.636,59.636,1.0,hotmail.com,1,1,0.1
148,166000,15773_123.0_174,0.925467900142226,1,train,lgbm_auc_unweighted_seed2026,2,1000.0,500.0,2.0,outlook.com,1,1,0.2
149,54235,15359_204.0_106,0.9254038071502035,1,train,lgbm_auc_unweighted_seed2026,4,1400.0,350.0,4.0,gmail.com,1,1,0.4
150,123460,7794__123,0.9253063451147202,1,val,lgbm_auc_unweighted_seed2026,1,87.302,87.302,1.0,outlook.com,1,1,0.1
151,78387,12616__-491,0.9250633398615938,1,train,lgbm_auc_unweighted_seed2026,211,12175.86,57.70549763033176,1.4440168991419495,gmail.com,1,0,1.0
152,157346,8755__65,0.9246803232456873,1,train,lgbm_auc_unweighted_seed2026,7,426.656,60.950857142857146,7.0,gmail.com,1,0,0.7
153,87998,4151_191.0_14,0.9244390551886049,1,train,lgbm_auc_unweighted_seed2026,1,450.0,450.0,1.0,gmail.com,1,1,0.1
154,85453,17656_325.0_8,0.924266966811174,1,train,lgbm_auc_unweighted_seed2026,1,225.0,225.0,1.0,gmail.com,1,1,0.1
155,125691,1333_420.0_71,0.9241516360729101,1,train,lgbm_auc_unweighted_seed2026,1,150.0,150.0,1.0,outlook.com,1,1,0.1
156,162357,10283_325.0_64,0.9236168235330604,1,test,lgbm_auc_unweighted_seed2026,1,200.0,200.0,1.0,gmail.com,1,1,0.1
157,46178,2256__-454,0.92354249609078,1,train,lgbm_auc_unweighted_seed2026,1,87.302,87.302,1.0,outlook.com,1,1,0.1
158,14135,6019_315.0_54,0.9221627199339786,1,train,lgbm_auc_unweighted_seed2026,1,1000.0,1000.0,1.0,gmail.com,1,1,0.1
159,60173,6344_204.0_86,0.9219318906997129,1,train,lgbm_auc_unweighted_seed2026,2,350.0,175.0,2.0,protonmail.com,1,1,0.2
160,83368,3821_181.0_176,0.9218866290803963,1,train,lgbm_auc_unweighted_seed2026,1,150.0,150.0,1.0,gmail.com,1,1,0.1
161,132368,2801__119,0.9217065271553542,1,val,lgbm_auc_unweighted_seed2026,9,672.394,74.71044444444445,6.228772829221404,gmail.com,1,0,0.9
162,67535,8185_325.0_103,0.9214753815606327,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,gmail.com,1,1,0.1
163,84960,14972_299.0_58,0.921172418730379,1,train,lgbm_auc_unweighted_seed2026,2,900.0,450.0,2.0,gmail.com,1,1,0.2
164,30383,9635__-349,0.9211504345499978,1,val,lgbm_auc_unweighted_seed2026,1,87.302,87.302,1.0,outlook.com,1,1,0.1
165,90341,12730__123,0.9210199544831936,1,train,lgbm_auc_unweighted_seed2026,1,87.302,87.302,1.0,outlook.com,1,1,0.1
166,23416,15765_337.0_82,0.920942322023092,0,val,lgbm_auc_unweighted_seed2026,3,1350.0,450.0,3.0,gmail.com,1,1,0.3
167,60134,9350_299.0_71,0.9206847115041576,1,train,lgbm_auc_unweighted_seed2026,2,800.0,400.0,2.0,gmail.com,1,1,0.2
168,76499,5009_161.0_6,0.9205017252681265,1,train,lgbm_auc_unweighted_seed2026,1,12.084,12.084,1.0,gmail.com,1,1,0.1
169,10824,16075_315.0_126,0.9201982073863078,1,train,lgbm_auc_unweighted_seed2026,1,200.0,200.0,1.0,comcast.net,1,1,0.1
170,53887,8691_204.0_177,0.9200909455598824,1,train,lgbm_auc_unweighted_seed2026,1,75.0,75.0,1.0,anonymous.com,1,1,0.1
171,26925,4504__42,0.919787650692321,1,train,lgbm_auc_unweighted_seed2026,2,55.512,27.756,2.0,gmail.com,1,1,0.2
172,74898,15176_161.0_6,0.9197325588981046,1,train,lgbm_auc_unweighted_seed2026,1,59.091,59.091,1.0,hotmail.com,1,1,0.1
173,40982,12340_337.0_21,0.9192663663367747,1,train,lgbm_auc_unweighted_seed2026,4,800.0,200.0,4.0,gmail.com,1,1,0.4
174,69332,2801__18,0.9191038341904456,1,train,lgbm_auc_unweighted_seed2026,5,210.50300000000004,42.10060000000001,0.0665625702027107,hotmail.com,1,0,0.5
175,122224,17138_325.0_8,0.9190541810913913,1,test,lgbm_auc_unweighted_seed2026,1,225.0,225.0,1.0,gmail.com,1,1,0.1
176,114265,9026__120,0.918791069957169,1,train,lgbm_auc_unweighted_seed2026,24,1399.952,58.33133333333333,1.6347575180634557,gmail.com,1,0,1.0
177,48897,9633__15,0.9178241568846366,1,train,lgbm_auc_unweighted_seed2026,64,4021.398,62.83434375,2.796001984142033,gmail.com,1,0,1.0
178,79165,3901__107,0.9176959016199818,1,val,lgbm_auc_unweighted_seed2026,2,143.075,71.5375,0.8477278636571018,gmail.com,1,1,0.2
179,4518,16385_299.0_60,0.9175020875309947,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,yahoo.com,1,1,0.1
180,93928,4817_299.0_77,0.9174330095717115,1,train,lgbm_auc_unweighted_seed2026,1,250.0,250.0,1.0,gmail.com,1,1,0.1
181,140122,10568__162,0.917196526497057,1,train,lgbm_auc_unweighted_seed2026,4,173.084,43.271,4.0,hotmail.com,1,1,0.4
182,67981,13844_204.0_146,0.9160584245466334,1,train,lgbm_auc_unweighted_seed2026,5,5953.24,1190.648,5.0,gmail.com,1,0,0.5
183,160231,9719_299.0_60,0.9160490258918975,1,train,lgbm_auc_unweighted_seed2026,1,300.0,300.0,1.0,yahoo.com,1,1,0.1
184,125658,11319_231.0_91,0.9157967081574931,1,train,lgbm_auc_unweighted_seed2026,1,200.0,200.0,1.0,yahoo.com,1,1,0.1
185,6638,3621_356.0_32,0.9147451065488041,1,test,lgbm_auc_unweighted_seed2026,1,500.0,500.0,1.0,outlook.com,1,1,0.1
186,70988,5009__6,0.9147023349648142,1,train,lgbm_auc_unweighted_seed2026,1,40.927,40.927,1.0,gmail.com,1,1,0.1
187,62493,6589_469.0_182,0.9144904602219321,1,train,lgbm_auc_unweighted_seed2026,2,300.0,150.0,2.0,yahoo.com,1,1,0.2
188,142724,1976__55,0.9143994097058528,1,train,lgbm_auc_unweighted_seed2026,1,32.356,32.356,1.0,gmail.com,1,1,0.1
